;2;3;4;5;6;7;8;9;10;11
4;HIT;STAND;HIT;HIT;HIT;HIT;HIT;STAND;STAND;HIT
5;HIT;HIT;STAND;STAND;HIT;HIT;HIT;HIT;HIT;HIT
6;STAND;STAND;STAND;HIT;HIT;HIT;STAND;HIT;HIT;HIT
7;HIT;HIT;HIT;HIT;HIT;HIT;HIT;HIT;HIT;HIT
8;HIT;HIT;HIT;HIT;HIT;HIT;HIT;HIT;HIT;HIT
9;HIT;HIT;HIT;HIT;HIT;HIT;HIT;HIT;HIT;HIT
10;HIT;HIT;HIT;HIT;HIT;HIT;HIT;HIT;HIT;HIT
11;HIT;HIT;HIT;HIT;HIT;HIT;HIT;HIT;HIT;HIT
12;HIT;HIT;STAND;STAND;STAND;HIT;HIT;HIT;HIT;HIT
13;HIT;STAND;STAND;STAND;STAND;HIT;HIT;HIT;HIT;HIT
14;STAND;STAND;STAND;STAND;STAND;HIT;HIT;HIT;HIT;HIT
15;STAND;STAND;STAND;STAND;STAND;HIT;HIT;HIT;HIT;HIT
16;STAND;STAND;STAND;STAND;STAND;HIT;HIT;HIT;HIT;HIT
17;STAND;STAND;STAND;STAND;STAND;STAND;HIT;STAND;STAND;HIT
18;STAND;STAND;STAND;STAND;STAND;STAND;STAND;STAND;STAND;STAND
19;STAND;STAND;STAND;STAND;STAND;STAND;STAND;STAND;STAND;STAND
20;STAND;STAND;STAND;STAND;STAND;STAND;STAND;STAND;STAND;STAND
21;STAND;STAND;STAND;STAND;STAND;STAND;STAND;STAND;STAND;STAND
